x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[885]Label:13C(1)2H(3)+Oxidation,turn,2,66,16022,117908,0.22300397559416407,0.035264674430022167,0.11171091497295613
[885]Label:13C(1)2H(3)+Oxidation,unassigned,17,51,22220,111710,1.6758175817581757,0.08905127809930174,0.20749747036298974
[885]Label:13C(1)2H(3)+Oxidation,ß-strand,8,60,23808,110122,0.6167226702508961,0.2552061795923551,0.4211794292573133
[885]Label:13C(1)2H(3)+Oxidation,α-helix,31,37,45847,88083,1.6096859177322458,0.06500545903662491,0.16935052860290276
[898]pyrophospho,3₁₀-helix,3,157,6257,127581,0.3896201859013446,0.1362487498228058,0.2724974996456116
[898]pyrophospho,PPII-helix,3,157,4494,129344,0.5499647087836861,0.4115247751541151,0.600322585047604
[898]pyrophospho,bend,22,138,10604,123234,1.8526970954356847,0.00988653008781627,0.04666442201449279
[898]pyrophospho,turn,15,145,16009,117829,0.7613971451403413,0.37572634507377956,0.5684065220346921
[898]pyrophospho,unassigned,60,100,22177,111661,3.020994724263877,2.4599351142682057e-12,1.1610893739345932e-10
[898]pyrophospho,ß-strand,11,149,23805,110033,0.3412409834378599,0.00045705373897424433,0.005261691824288862
[898]pyrophospho,α-helix,12,148,45866,87972,0.15551530250871812,1.8081693503869345e-12,9.482843704251478e-11
[903]Lys->CamCys,α-helix,8,11,45870,88109,1.3969756426263948,0.6305091340742848,0.8016133336359608
[904]Phe->CamCys,α-helix,5,20,45873,88100,0.4801299239203889,0.19717044204459194,0.35238338769268845
[906]Lys->MetOx,α-helix,1,17,45877,88103,0.11296574343929869,0.020540580359075484,0.07673542748520226
[907]Galactosyl,unassigned,3,31,22234,111730,0.48630838558789646,0.32331340992804425,0.5053110247882017
[907]Galactosyl,ß-strand,13,21,23803,110161,2.864971002054563,0.0037667377276478986,0.02469305843680289
[907]Galactosyl,α-helix,7,27,45871,88093,0.4978946595000311,0.13444415307881002,0.27003251171573756
[910]Bacillosamine,α-helix,2,19,45876,88101,0.2021490424990019,0.031005412276271734,0.10233954261818362
[946]LG-anhydrolactam,α-helix,6,22,45872,88098,0.5237776262802423,0.21891014578390705,0.3779767963224062
[947]LG-pyrrole,α-helix,5,22,45873,88098,0.43647184023876195,0.12882990955604104,0.26210222978642833
[948]LG-anhyropyrrole,unassigned,4,28,22233,111733,0.7179353727727766,0.7001489086264984,0.850591275622435
[948]LG-anhyropyrrole,ß-strand,7,25,23809,110157,1.2954748204460498,0.7070922665770857,0.850591275622435
[948]LG-anhyropyrrole,α-helix,6,26,45872,88094,0.4431763301226154,0.0968507024626904,0.21665180835255862
[959]Phosphopropargyl,bend,7,68,10619,123304,1.1953158323316142,0.81329155179132,0.916166139488074
[959]Phosphopropargyl,turn,13,62,16011,117912,1.5441561345929513,0.20875485723909065,0.36765780827183125
[959]Phosphopropargyl,unassigned,21,54,22216,111707,1.9554200176049295,0.012406582965426427,0.05463413418903346
[959]Phosphopropargyl,ß-strand,18,57,23798,110125,1.4613125384264931,0.2077113793156027,0.36724357423562104
[959]Phosphopropargyl,α-helix,10,65,45868,88055,0.2953458419142556,0.00022017838027396243,0.0030565939849797135
[1017]DMPO,unassigned,11,29,22226,111732,1.9068254948382912,0.10067781204306996,0.2220557349735001
[1017]DMPO,ß-strand,10,30,23806,110152,1.5423562687277717,0.32270622261674087,0.5053110247882017
